Entity,Code,Day,Number of parameters,Domain
Named Entity Recognition model,,2016-05-29,,Language
Nemotron-3-8B,,2023-11-15,8000000000,Language
Neocognitron,,1980-04-01,1140576,Vision
NetTalk (dictionary),,1987-06-06,18629,Speech
NetTalk (transcription),,1987-06-06,18629,Speech
Netflix Recommender System,,2015-12-01,,Other
Network in Network,,2013-12-16,,Vision
NeuMF (Pinterest),,2017-08-16,,Other
Neural Architecture Search with base 8 and shared embeddings,,2016-11-05,54000000,Language
Neuro-Symbolic Concept Learner,,2019-04-26,,Other
Noisy Student (L2),,2019-11-11,480000000,Vision
NoisyNet-Dueling,,2017-06-30,,Games
Nucleotide Transformer,,2023-01-15,2500000000,Biology
NÜWA,,2021-11-24,870000000,Multimodal
ONE-PEACE,,2023-05-18,4000000000,Multimodal
OPT-175B,,2022-05-02,175000000000,Language
OR-WideResNet,,2017-01-07,18200000,Vision
ObjectNet,,2019-09-06,38000000,Vision
OmegaPLM,,2022-07-22,670000000,Biology
OmniVec,,2023-11-07,,Multimodal
Once for All,,2020-04-29,7700000,Vision
OntoProtein,,2022-01-23,420000000,Other
OpenAI Five,,2019-12-13,159000000,Games
OpenAI Five Rerun,,2019-12-13,159000000,Games
OpenAI TI7 DOTA 1v1,,2017-08-11,,Games
Optimized Multi-Scale Edge Detection,,1986-11-01,,Vision
Optimized Single-layer Net,,2011-04-11,,Vision
OverFeat,,2013-12-21,,Vision
PDP model for serial order,,1986-01-05,,Speech
PG-SWGAN,,2019-06-15,,Image generation
PLATO-XL,,2021-09-20,11000000000,Language
PLUG,,2021-04-19,27000000000,Language
PNAS-net,,2017-12-02,86000000,Vision
PNASNet-5,,2017-12-02,,Vision
PPLX-70B-Online,,2023-11-29,70000000000,Language
PSPNet,,2017-07-21,,Vision
PaLI,,2022-09-14,16900000000,Other
PaLI-X,,2023-05-29,55000000000,Multimodal
PaLM (540B),,2022-04-04,540350000000,Language
PaLM 2,,2023-05-10,340000000000,Language
PaLM-E,,2023-03-06,562000000000,Other
PanGu-Σ,,2023-03-20,1085000000000,Language
Pandemonium (morse),,1959-02-01,,Language
Pangu-Weather,,2023-07-05,256000000,Other
